game_name,drawing_date,number_drawn
Powerball,6/9/2012,57
Powerball,6/9/2012,22
Powerball,6/9/2012,18
Powerball,6/13/2012,14
Powerball,6/13/2012,57
Powerball,6/13/2012,33
Powerball,6/13/2012,10
Powerball,6/13/2012,7
Powerball,6/16/2012,14
Powerball,6/16/2012,16
Powerball,6/16/2012,27
Powerball,6/16/2012,15
Powerball,6/16/2012,8
Powerball,6/20/2012,17
Powerball,6/20/2012,11
Powerball,6/20/2012,29
Powerball,6/20/2012,56
Powerball,6/20/2012,57
Powerball,6/23/2012,44
Powerball,6/23/2012,1
Powerball,6/23/2012,53
Powerball,6/23/2012,3
Powerball,6/23/2012,41
Powerball,6/27/2012,58
Powerball,6/27/2012,34
Powerball,6/27/2012,6
Powerball,6/27/2012,46
Powerball,6/27/2012,40
Powerball,6/30/2012,20
Powerball,6/30/2012,7
Powerball,6/30/2012,15
Powerball,6/30/2012,41
Powerball,6/30/2012,44
Powerball,7/4/2012,35
Powerball,7/4/2012,19
Powerball,7/4/2012,14
Powerball,7/4/2012,39
Powerball,7/4/2012,56
Powerball,7/7/2012,5
Powerball,7/7/2012,3
Powerball,7/7/2012,29
Powerball,7/7/2012,59
Powerball,7/7/2012,39
Powerball,7/11/2012,5
Powerball,7/11/2012,36
Powerball,7/11/2012,49
Powerball,7/11/2012,55
Powerball,7/11/2012,22
Powerball,7/14/2012,4
Powerball,7/14/2012,46
Powerball,7/14/2012,16
Powerball,7/14/2012,37
Powerball,7/14/2012,32
Powerball,7/18/2012,5
Powerball,7/18/2012,2
Powerball,7/18/2012,57
Powerball,7/18/2012,23
Powerball,7/18/2012,20
Powerball,7/21/2012,9
Powerball,7/21/2012,54
Powerball,7/21/2012,38
Powerball,7/21/2012,56
Powerball,7/21/2012,31
Powerball,7/25/2012,14
Powerball,7/25/2012,3
Powerball,7/25/2012,46
Powerball,7/25/2012,38
Powerball,7/25/2012,35
Powerball,7/28/2012,6
Powerball,7/28/2012,50
Powerball,7/28/2012,5
Powerball,7/28/2012,36
Powerball,7/28/2012,13
Powerball,8/1/2012,58
Powerball,8/1/2012,3
Powerball,8/1/2012,56
Powerball,8/1/2012,48
Powerball,8/1/2012,16
Powerball,8/4/2012,55
Powerball,8/4/2012,30
Powerball,8/4/2012,53
Powerball,8/4/2012,48
Powerball,8/4/2012,19
Powerball,8/8/2012,7
Powerball,8/8/2012,15
Powerball,8/8/2012,3
Powerball,8/8/2012,11
Powerball,8/8/2012,28
Powerball,8/11/2012,51
Powerball,8/11/2012,13
Powerball,8/11/2012,46
Powerball,8/11/2012,39
Powerball,8/11/2012,4
Powerball,8/15/2012,56
Powerball,8/15/2012,27
Powerball,8/15/2012,46
Powerball,8/15/2012,6
Powerball,8/15/2012,51
Powerball,8/18/2012,55
Powerball,8/18/2012,41
Powerball,8/18/2012,26
Powerball,8/18/2012,14
Powerball,8/18/2012,59
Powerball,8/22/2012,47
Powerball,8/22/2012,31
Powerball,8/22/2012,22
Powerball,8/22/2012,29
Powerball,8/22/2012,55
Powerball,8/25/2012,7
Powerball,8/25/2012,20
Powerball,8/25/2012,6
Powerball,8/25/2012,1
Powerball,8/25/2012,49
Powerball,8/29/2012,49
Powerball,8/29/2012,54
Powerball,8/29/2012,28
Powerball,8/29/2012,25
Powerball,8/29/2012,56
Powerball,9/1/2012,8
Powerball,9/1/2012,44
Powerball,9/1/2012,21
Powerball,9/1/2012,11
Powerball,9/1/2012,49
Powerball,9/5/2012,42
Powerball,9/5/2012,4
Powerball,9/5/2012,26
Powerball,9/5/2012,51
Powerball,9/5/2012,19
Powerball,9/8/2012,34
Powerball,9/8/2012,44
Powerball,9/8/2012,20
Powerball,9/8/2012,48
Powerball,9/8/2012,6
Powerball,9/12/2012,48
Powerball,9/12/2012,56
Powerball,9/12/2012,24
Powerball,9/12/2012,36
Powerball,9/12/2012,33
Powerball,9/15/2012,43
Powerball,9/15/2012,26
Powerball,9/15/2012,3
Powerball,9/15/2012,20
Powerball,9/15/2012,48
Powerball,9/19/2012,50
Powerball,9/19/2012,1
Powerball,9/19/2012,8
Powerball,9/19/2012,39
Powerball,9/19/2012,5
Powerball,9/22/2012,40
Powerball,9/22/2012,42
Powerball,9/22/2012,18
Powerball,9/22/2012,16
Powerball,9/22/2012,2
Powerball,9/26/2012,41
Powerball,9/26/2012,26
Powerball,9/26/2012,42
Powerball,9/26/2012,13
Powerball,9/26/2012,39
Powerball,9/29/2012,57
Powerball,9/29/2012,14
Powerball,9/29/2012,29
Powerball,9/29/2012,18
Powerball,9/29/2012,28
Powerball,10/3/2012,55
Powerball,10/3/2012,23
Powerball,10/3/2012,17
Powerball,10/3/2012,59
Powerball,10/3/2012,36
Powerball,10/6/2012,36
Powerball,10/6/2012,59
Powerball,10/6/2012,26
Powerball,10/6/2012,15
Powerball,10/6/2012,34
Powerball,10/10/2012,35
Powerball,10/10/2012,18
Powerball,10/10/2012,43
Powerball,10/10/2012,29
Powerball,10/10/2012,26
Powerball,10/13/2012,5
