game_name,drawing_date,number_drawn
Mega Millions,5/18/2012,3
Mega Millions,5/22/2012,14
Mega Millions,5/22/2012,43
Mega Millions,5/22/2012,35
Mega Millions,5/22/2012,52
Mega Millions,5/22/2012,10
Mega Millions,5/25/2012,54
Mega Millions,5/25/2012,15
Mega Millions,5/25/2012,40
Mega Millions,5/25/2012,21
Mega Millions,5/25/2012,9
Mega Millions,5/29/2012,2
Mega Millions,5/29/2012,53
Mega Millions,5/29/2012,55
Mega Millions,5/29/2012,29
Mega Millions,5/29/2012,14
Mega Millions,6/1/2012,2
Mega Millions,6/1/2012,52
Mega Millions,6/1/2012,46
Mega Millions,6/1/2012,38
Mega Millions,6/1/2012,27
Mega Millions,6/5/2012,37
Mega Millions,6/5/2012,39
Mega Millions,6/5/2012,55
Mega Millions,6/5/2012,53
Mega Millions,6/5/2012,42
Mega Millions,6/8/2012,9
Mega Millions,6/8/2012,4
Mega Millions,6/8/2012,34
Mega Millions,6/8/2012,48
Mega Millions,6/8/2012,40
Mega Millions,6/12/2012,9
Mega Millions,6/12/2012,17
Mega Millions,6/12/2012,50
Mega Millions,6/12/2012,2
Mega Millions,6/12/2012,34
Mega Millions,6/15/2012,18
Mega Millions,6/15/2012,8
Mega Millions,6/15/2012,12
Mega Millions,6/15/2012,30
Mega Millions,6/15/2012,40
Mega Millions,6/19/2012,53
Mega Millions,6/19/2012,11
Mega Millions,6/19/2012,30
Mega Millions,6/19/2012,27
Mega Millions,6/19/2012,21
Mega Millions,6/22/2012,19
Mega Millions,6/22/2012,32
Mega Millions,6/22/2012,10
Mega Millions,6/22/2012,36
Mega Millions,6/22/2012,16
Mega Millions,6/26/2012,36
Mega Millions,6/26/2012,23
Mega Millions,6/26/2012,3
Mega Millions,6/26/2012,16
Mega Millions,6/26/2012,35
Mega Millions,6/29/2012,39
Mega Millions,6/29/2012,34
Mega Millions,6/29/2012,45
Mega Millions,6/29/2012,28
Mega Millions,6/29/2012,53
Mega Millions,7/3/2012,52
Mega Millions,7/3/2012,36
Mega Millions,7/3/2012,24
Mega Millions,7/3/2012,4
Mega Millions,7/3/2012,3
Mega Millions,7/6/2012,28
Mega Millions,7/6/2012,35
